text,Marks,topic,Year,Question_ID,section,marks,subject,
Define inductive reactance and capacitive reactance.,2,Inductive and Capacitive Reactance,2024,2325,A,2,,
Differentiate between direct current and alternating current quantities.,2,DC vs AC Quantities,2024,2326,A,2,,
State the principle of operation of a transformer.,2,Transformer Operation,2024,2327,A,2,,
Write the Truth Tables for RS and JK flip-flops.,2,RS and JK Flip-Flops,2024,2328,A,2,,
Define knee voltage and breakdown voltage of a diode.,2,Knee Voltage and Breakdown Voltage,2024,2329,A,2,,
State Faraday’s Laws.,2,Faraday's Laws,2024,2330,A,2,,
How can impedance be represented in polar form and rectangular form?,2,Impedance Representation,2024,2331,A,2,,
"Write the Truth Tables for OR gate, NOR gate & XOR gate.",2,Logic Gates,2024,2332,A,2,,
Classify various types of transducers.,2,Transducers,2024,2333,A,2,,
What is the function of a commutator in DC machines?,2,Commutator in DC Machines,2024,2334,A,2,,
"A series RLC circuit consists of resistance of 2 ohms, a coil of inductive reactance of 4 ohms and a capacitor of capacitive reactance of 3 ohms across a 220V, 50Hz AC supply. Find:
(a) Impedance
(b) RMS value of current
(c) Maximum value of current
(d) Power factor and power of the circuit.",5,Series RLC Circuit,2024,2335,B,5,,
Explain the working of a D flip-flop with the help of a diagram and truth table.,5,D Flip-Flop,2024,2336,B,5,,
Illustrate the working of a multimeter.,5,Multimeter,2024,2337,B,5,,
Elaborate the operation of a full-wave bridge rectifier.,5,Full-Wave Bridge Rectifier,2024,2338,B,5,,
Explain the construction and working principle of a transformer. Find the expression for emf induced in the transformer.,5,Transformer Principle,2024,2339,B,5,,
Explain the principle of operation of a DC motor. How are DC motors classified and what are their applications?,10,DC Motor Operation,2024,2340,C,10,,
Discuss the operation of a BJT amplifier in CE mode.,10,BJT Amplifier in CE Mode,2024,2341,C,10,,
How are three-phase motors classified? Explain the construction and applications of each type.,10,Three-Phase Motors,2024,2342,C,10,,
Find current I using nodal and mesh analysis.,10,Nodal and Mesh Analysis,2024,2343,C,10,,
What is the difference between co-channel and adjacent channel interference?,2,Co-channel and Adjacent Channel Interference,2024,2344,A,2,,
Explain dynamic channel allocation scheme.,2,Dynamic Channel Allocation,2024,2345,A,2,,
What is fading effect?,2,Fading Effect,2024,2346,A,2,,
Write down the factors causing co-channel interference.,2,Factors Causing Co-channel Interference,2024,2347,A,2,,
"If the cluster size N is reduced while the cell size is kept constant, what is the effect on capacity?",2,Effect of Cluster Size on Capacity,2024,2348,A,2,,
What is equal gain combining method?,2,Equal Gain Combining,2024,2349,A,2,,
How much there is an increase in spectrum efficiency offered by 3G compared to 2G?,2,Spectrum Efficiency in 3G vs 2G,2024,2350,A,2,,
What is guard space?,2,Guard Space,2024,2351,A,2,,
What do you mean by forward and reverse channel?,2,Forward and Reverse Channel,2024,2352,A,2,,
What is a base station?,2,Base Station,2024,2353,A,2,,
Explain the different handover schemes used in wireless communication.,5,Handover Schemes,2024,2354,B,5,,
Explain in detail cell splitting and cell sectoring.,5,Cell Splitting and Sectoring,2024,2355,B,5,,
Discuss ALOHA and Slotted ALOHA Protocol.,5,ALOHA and Slotted ALOHA,2024,2356,B,5,,
Define the concept of frequency channels.,5,Frequency Channels,2024,2357,B,5,,
Design a half adder.,2,Half Adder,2024,2358,A,2,,
What is a ring counter?,2,Ring Counter,2024,2359,A,2,,
What do you mean by a shift register?,2,Shift Register,2024,2360,A,2,,
Convert a Hexadecimal number (DAC) to an Octal and Binary number system.,2,Hexadecimal to Octal and Binary Conversion,2024,2361,A,2,,
Convert a Gray code 11001010 to a binary number?,2,Gray Code to Binary Conversion,2024,2362,A,2,,
Differentiate between a latch and a flip-flop.,2,Latch vs Flip-Flop,2024,2363,A,2,,
How NOR can be used as NAND?,2,NOR as NAND,2024,2364,A,2,,
What is a Seven Segment Display?,2,Seven Segment Display,2024,2365,A,2,,
Convert a JK flip-flop to a D flip-flop.,2,JK to D Flip-Flop,2024,2366,A,2,,
What is the operating voltage of TTL 7400 IC?,2,TTL 7400 IC Operating Voltage,2024,2367,A,2,,
Explain the working of a T flip-flop.,5,T Flip-Flop,2024,2368,B,5,,
Design and explain the working of a 3-bit counter.,5,3-bit Counter,2024,2369,B,5,,
"Implement the logic function F(A,B,C) = Σ(1,3,5,7) using.",5,Logic Function Implementation,2024,2370,B,5,,
Discuss De-Morgan’s theorems with some examples.,5,De-Morgan's Theorems,2024,2371,B,5,,
What is an encoder? Discuss about it.,5,Encoder,2024,2372,B,5,,
"Simplify the following function as the minimal sum using K-map: F = Σ(1, 2, 4, 5, 13, 14, 15) + Σ(9, 12).",10,K-map Simplification,2024,2373,C,10,,
What do you mean by a D/A converter? Discuss types of D/A converters.,10,D/A Converter,2024,2374,C,10,,
Write technical notes on the following: Semiconductor memories and programmable A/D converters.,10,Semiconductor Memories and A/D Converters,2024,2375,C,10,,
Define the term Electrical safety.,2,Electrical Safety,2024,2376,A,2,,
What are Electrical Hazards? How is it classified?,2,Electrical Hazards,2024,2377,A,2,,
What are the risks involved during installation of electrical plant?,2,Risks during Electrical Installation,2024,2378,A,2,,
What is system grounding?,2,System Grounding,2024,2379,A,2,,
Mention various types of electrical rotating machines.,2,Electrical Rotating Machines,2024,2380,A,2,,
What is safety auditing of electrical system?,2,Safety Auditing,2024,2381,A,2,,
Name the earthing devices used for electrical safety.,2,Earthing Devices,2024,2382,A,2,,
List out some electrical causes of fire and explosion.,2,Electrical Causes of Fire,2024,2383,A,2,,
What are primary electrical shocks?,2,Primary Electrical Shocks,2024,2384,A,2,,
Mention various shocks that occur due to electrical faults.,2,Electrical Fault Shocks,2024,2385,A,2,,
Explain the installation process of electrical equipment.,5,Installation of Electrical Equipment,2024,2386,B,5,,
Discuss the risks during the installation of electrical plant.,5,Risks during Installation,2024,2387,B,5,,
Explain the significance of system grounding in electrical safety.,5,Significance of System Grounding,2024,2388,B,5,,
Enlist various types of electrical rotating machines used in industrial setups.,5,Types of Electrical Rotating Machines,2024,2389,B,5,,
Define cells and clusters?,2,Cells and Clusters,2024,2390,A,2,,
State principle of CDMA?,2,CDMA,2024,2391,A,2,,
What is the concept of diversity?,2,Diversity,2024,2392,A,2,,
Define MS and MSC?,2,MS and MSC,2024,2393,A,2,,
How is higher data rate accomplished in EDGE technology?,2,EDGE Technology,2024,2394,A,2,,
What is the near-far effect in wireless networks?,2,Near-Far Effect,2024,2395,A,2,,
What are SIM and IMEI number?,2,SIM and IMEI,2024,2396,A,2,,
Explain the TDMA frame structure?,2,TDMA Frame Structure,2024,2397,A,2,,
Define coherence time and coherence BW?,2,Coherence Time and BW,2024,2398,A,2,,
What is the blocked call delay system?,2,Blocked Call Delay,2024,2399,A,2,,
Compare the slotted ALOHA and pure ALOHA protocols and calculate the maximum throughput attainable with each protocol.,5,ALOHA Protocols,2024,2400,B,5,,
Explain the various methods that increase the channel capacity and coverage of the system.,5,Channel Capacity and Coverage,2024,2401,B,5,,
"Explain FDMA, TDMA, and CDMA multiple access techniques used in communication systems.",5,Multiple Access Techniques,2024,2402,B,5,,
"Calculate the frame efficiency of a GSM time slots 6 trailing bits, 8.25 guard bits, 26 training bits, and two traffic bursts of 58 bits of data.",5,GSM Frame Efficiency,2024,2403,B,5,,
Describe channel assignment strategies?,5,Channel Assignment Strategies,2024,2404,B,5,,
What do you mean by small scale fading and what are the factors influencing small scale fading?,10,Small Scale Fading,2024,2405,C,10,,
Explain GSM system architecture and its various channel types.,10,GSM System Architecture,2024,2406,C,10,,
Write a note on RAKE receiver.,10,RAKE Receiver,2024,2407,C,10,,
Write a note on 5G technology.,10,5G Technology,2024,2408,C,10,,
What is the function of a capacitor in a capacitor start induction motor?,2,Capacitor Start Induction Motor,2024,2409,A,2,,
What is meant by slip of an induction motor?,2,Slip of Induction Motor,2024,2410,A,2,,
What types of losses occur in the rotor of three-phase induction motor?,2,Rotor Losses,2024,2411,A,2,,
Define Ferraris Principle.,2,Ferraris Principle,2024,2412,A,2,,
What are the methods of minimizing hunting in synchronous machines?,2,Minimizing Hunting,2024,2413,A,2,,
Give the applications of reluctance and hysteresis motors.,2,Reluctance and Hysteresis Motors,2024,2414,A,2,,
"A 4-pole, 50 Hz, 3-phase induction motor is running at a speed of 1400 rpm. Find the value of slip.",2,Slip Calculation,2024,2415,A,2,,
What are the applications of double cage induction motor?,2,Double Cage Induction Motor,2024,2416,A,2,,
Why three-phase synchronous motors are not self-starting?,2,Synchronous Motors,2024,2417,A,2,,
Explain the concept of rotating field in three-phase induction motor and why?,5,Rotating Field,2024,2418,B,5,,
"A 4-pole, 3-phase squirrel cage induction motor is connected across a 400V, 50 Hz supply. The input power is 10 kW. The stator losses are 150 W. Find the speed of magnetic field, speed of rotor, and rotor copper losses.",5,Induction Motor Losses,2024,2419,B,5,,
How are single-phase induction motors classified? Give a brief description of each type of motor.,5,Single-Phase Motors,2024,2420,B,5,,
Derive the equation for field emf for a cylinder rotor three-phase synchronous machine.,5,Synchronous Machine EMF,2024,2421,B,5,,
Explain V-curves for synchronous machines.,5,V-Curves,2024,2422,B,5,,
Why starters are required for three-phase induction motors? Explain the types of starters used.,10,Induction Motor Starters,2024,2423,C,10,,
Derive the equation for field emf for a cylinder rotor three-phase synchronous machine.,10,Synchronous Machine EMF,2024,2424,C,10,,
Explain the principle of operation of an Induction Generator and its applications.,10,Induction Generator,2024,2425,C,10,,
Explain the constructional features of a stepper motor.,2,Stepper Motor,2024,2426,A,2,,
Briefly describe about the Repulsion motor.,2,Repulsion Motor,2024,2427,A,2,,
What are the key characteristics of switched reluctance motors?,2,Switched Reluctance Motor,2024,2428,A,2,,
Briefly describe the constructional features of a permanent magnet brushless D.C. motor.,2,Permanent Magnet Brushless D.C. Motor,2024,2429,A,2,,
State the fundamental principle of permanent magnet synchronous motor.,2,Permanent Magnet Synchronous Motor,2024,2430,A,2,,
Define cogging.,2,Cogging,2024,2431,A,2,,
Discuss the applications of permanent magnet brushless D.C. motors.,2,Applications of PM Brushless D.C. Motors,2024,2432,A,2,,
Define the term 'lead angle'.,2,Lead Angle,2024,2433,A,2,,
Explain the principle of operation of permanent magnet synchronous motor.,2,Permanent Magnet Synchronous Motor,2024,2434,A,2,,
Predicting the torque in switched reluctance motors.,5,Torque in Switched Reluctance Motors,2024,2435,B,5,,
Explain the operation of a hysteresis motor.,5,Hysteresis Motor,2024,2436,B,5,,
Discuss the analytical methods used for predicting performance in switched reluctance motors.,5,Performance of Switched Reluctance Motors,2024,2437,B,5,,
Describe the constructional features and working principle of a linear induction motor.,5,Linear Induction Motor,2024,2438,B,5,,
Provide a brief comparison between the power controller circuits in switched reluctance motors and permanent magnet synchronous motors.,5,Power Controller Circuits,2024,2439,B,5,,
Analyze the performance of a Repulsion motor.,5,Performance of Repulsion Motor,2024,2440,B,5,,
Discuss the controllers used in permanent magnet brushless D.C. motors.,5,PM Brushless D.C. Motor Controllers,2024,2441,B,5,,
Elaborate on the power converter circuit for D.C. motors.,5,Power Converter Circuits for D.C. Motors,2024,2442,B,5,,
Describe the working and applications of stepper motors in various scenarios.,10,Applications of Stepper Motors,2024,2443,C,10,,
How are BLDC motors different from ordinary DC motors? Explain how commutation works in BLDC motors.,10,BLDC vs Ordinary DC Motors,2024,2444,C,10,,
Write a technical note on the following: (a) Constructional features and working principle of a reluctance motor.,10,Reluctance Motor,2024,2445,C,10,,
List methods used for high current measurement.,2,High Current Measurement,2024,2446,A,2,,
What is the function of aquadag coating in CRT?,2,Aquadag Coating in CRT,2024,2447,A,2,,
Compare dynamometer type and induction type wattmeter.,2,Dynamometer vs Induction Wattmeter,2024,2448,A,2,,
Write the importance of range/extension.,2,Range/Extension,2024,2449,A,2,,
What is gauge factor?,2,Gauge Factor,2024,2450,A,2,,
What is an ac potentiometer? List its types.,2,AC Potentiometer,2024,2451,A,2,,
What is a PMU?,2,PMU,2024,2452,A,2,,
List different damping torque methods.,2,Damping Torque Methods,2024,2453,A,2,,
What is the use of Kelvin Double Bridge?,2,Kelvin Double Bridge,2024,2454,A,2,,
What are clamp on meters?,2,Clamp on Meters,2024,2455,A,2,,
What is meant by Piezo-resistive transducer? Explain its working principle.,5,Piezo-resistive Transducer,2024,2456,B,5,,
Derive the equations of balance for Maxwell Inductance Bridge.,5,Maxwell Inductance Bridge,2024,2457,B,5,,
Explain the working principle of electromagnetic type flowmeter.,5,Electromagnetic Flowmeter,2024,2458,B,5,,
How do you Standardize a Potentiometer? Explain with a neat diagram.,5,Potentiometer Standardization,2024,2459,B,5,,
Discuss how the wattmeter can be used for power measurement in a three phase circuit.,5,Wattmeter in Three-Phase Circuit,2024,2460,B,5,,
Draw the block diagram of an oscilloscope (CRO) and explain the function of each block in detail.,10,Oscilloscope (CRO),2024,2461,C,10,,
"Explain how frequency, phase, and amplitude of a signal can be measured using a CRO.",10,CRO Signal Measurement,2024,2462,C,10,,
Explain the principle and operation of current transformer and also the ratio and angle errors.,10,Current Transformer,2024,2463,C,10,,
Differentiate between current transformer and potential transformer.,10,Current vs Potential Transformer,2024,2464,C,10,,
"Write notes on any two: (a) Single phase induction type energy meter, (b) Thermistor, (c) Method of high current measurement.",10,"Energy Meter, Thermistor, High Current Measurement",2024,2465,C,10,,
What are the different configurations of differential amplifiers?,2,Differential Amplifiers Configurations,2024,2466,A,2,,
Define slew rate.,2,Slew Rate,2024,2467,A,2,,
Define characteristics of an ideal op-amp.,2,Ideal Op-Amp Characteristics,2024,2468,A,2,,
What is log amplifier? Draw the circuit of basic log amplifier.,2,Log Amplifier,2024,2469,A,2,,
Define CMRR and PSRR.,2,CMRR and PSRR,2024,2470,A,2,,
Define virtual ground of an OP-Amp.,2,Virtual Ground of OP-Amp,2024,2471,A,2,,
What is offset voltage?,2,Offset Voltage,2024,2472,A,2,,
How does negative feedback affect the performance of an inverting amplifier?,2,Negative Feedback in Inverting Amplifier,2024,2473,A,2,,
Discuss 555 timer pin configuration.,2,555 Timer Pin Configuration,2024,2474,A,2,,
Discuss averaging amplifier.,2,Averaging Amplifier,2024,2475,A,2,,
Discuss differential amplifier with swamping resistors.,5,Differential Amplifier with Swamping Resistors,2024,2476,B,5,,
Explain the function of 555 Timer as monostable multivibrator.,5,555 Timer Monostable Multivibrator,2024,2477,B,5,,
Discuss Differentiator.,5,Differentiator,2024,2478,B,5,,
Explain Schmitt Trigger with its typical input and output waveforms.,5,Schmitt Trigger,2024,2479,B,5,,
Draw and explain circuit diagram of voltage-to-frequency converter.,5,Voltage-to-Frequency Converter,2024,2480,B,5,,
Derive the relation for voltage gain and input impedance for a dual-input unbalanced output differential amplifier.,10,Voltage Gain and Input Impedance of Differential Amplifier,2024,2481,C,10,,
Discuss different types of voltage regulators.,10,Voltage Regulators,2024,2482,C,10,,
"Write notes on any two: Current Mirror, Different feedback configurations, Peak detector.",10,"Current Mirror, Feedback Configurations, Peak Detector",2024,2483,C,10,,
Differentiate between energy and power signals.,2,Energy vs Power Signals,2024,2484,A,2,,
Give examples of stable and unstable systems.,2,Stable and Unstable Systems,2024,2485,A,2,,
Find Z-Transform of f(n) = 56(n-1).,2,Z-Transform,2024,2486,A,2,,
What is meant by unit impulse response of an LTI system?,2,Unit Impulse Response,2024,2487,A,2,,
Draw the block diagram for the system governed by the following difference equation: y(n-1) + 2y(n) = x(n).,2,Block Diagram of System,2024,2488,A,2,,
What is the gap incidence of Fourier Series for a function?,2,Fourier Series,2024,2489,A,2,,
What are necessary requirements for sampling a signal?,2,Sampling Requirements,2024,2490,A,2,,
Find the Inverse Z-Transform of F(Z) = 2/(Z-A)(Z-3).,2,Inverse Z-Transform,2024,2491,A,2,,
What is meant by Sampling rate?,2,Sampling Rate,2024,2492,A,2,,
Define convolution integral and convolution sum.,2,Convolution,2024,2493,A,2,,
Explain properties of Z-Transform.,5,Properties of Z-Transform,2024,2494,B,5,,
Check whether the following systems are stable or not: (a) y(n) = x(n) (b) y(n) = ax(n).,5,System Stability,2024,2495,B,5,,
Find Z-Transform of f(n) = (1/3)^n u(n).,5,Z-Transform,2024,2496,B,5,,
Explain how a function can be represented in Fourier Series form.,5,Fourier Series Representation,2024,2497,B,5,,
Explain Sampling Theorem for Low Pass and Band Pass Signals.,5,Sampling Theorem,2024,2498,B,5,,
"Check whether the following signals are energy or power signals: (a) f(t) = u(t), (b) f(t) = H(t-1).",10,Energy vs Power Signals,2024,2499,C,10,,
Explain various methods of finding inverse Z-Transform.,10,Methods of Inverse Z-Transform,2024,2500,C,10,,
"Write notes on: (a) Properties of LTI Systems, (b) Aliasing and its effects.",10,LTI Systems & Aliasing,2024,2501,C,10,,
What are the different configurations of differential amplifiers?,2,Differential Amplifiers,2024,2502,A,2,,
Define supply voltage rejection ratio (SVRR).,2,SVRR,2024,2503,A,2,,
Define characteristics of an ideal op-amp.,2,Ideal Op-Amp Characteristics,2024,2504,A,2,,
What is log amplifier? Draw the circuit of basic log amplifier.,2,Log Amplifier,2024,2505,A,2,,
Discuss the temperature ranges for IC’s used in various applications.,2,IC Temperature Ranges,2024,2506,A,2,,
Discuss antilog amplifier.,2,Antilog Amplifier,2024,2507,A,2,,
What is offset voltage?,2,Offset Voltage,2024,2508,A,2,,
How does negative feedback affect the performance of an inverting amplifier?,2,Negative Feedback,2024,2509,A,2,,
List the applications of 555 timer in monostable mode of operation.,2,555 Timer Monostable,2024,2510,A,2,,
Differentiate between scaling and averaging amplifiers.,2,Scaling vs Averaging Amplifiers,2024,2511,A,2,,
Discuss the application of op-amp as an inverting and non-inverting adder.,5,Op-Amp Adders,2024,2512,B,5,,
Explain the function of 555 Timer as astable multivibrator.,5,555 Timer Astable,2024,2513,B,5,,
Discuss Integrator.,5,Integrator,2024,2514,B,5,,
Explain Schmitt Trigger with its typical input and output waveforms.,5,Schmitt Trigger,2024,2515,B,5,,
Draw and explain circuit diagram of voltage-to-current converter.,5,Voltage-to-Current Converter,2024,2516,B,5,,
Derive the relation for voltage gain and input impedance for a dual-input unbalanced output differential amplifier.,10,Dual-Input Differential Amplifier,2024,2517,C,10,,
"Write notes on: (i) Instrumentation Amplifier, (ii) Zero crossing detector.",10,Instrumentation Amplifier & Zero Crossing Detector,2024,2518,C,10,,
Name the enzymes used in DNA repair and proofreading.,2,DNA Repair Enzymes,2024,2519,A,2,,
Describe the role of oncogenes.,2,Oncogenes,2024,2520,A,2,,
What is the plasma membrane of the cell? What are its main functions?,2,Plasma Membrane,2024,2521,A,2,,
What are the substances that constitute the chromatin? What is the difference between chromatin and chromosome?,2,Chromatin vs Chromosome,2024,2522,A,2,,
What are the enhancers and silencers?,2,Enhancers and Silencers,2024,2523,A,2,,
What is the fluid mosaic model?,2,Fluid Mosaic Model,2024,2524,A,2,,
What are the nucleosomes?,2,Nucleosomes,2024,2525,A,2,,
Why is the cell considered the functional unit of life? Justify.,2,Cell as Functional Unit,2024,2526,A,2,,
What are stem cells?,2,Stem Cells,2024,2527,A,2,,
Discuss the role of transcription factors.,2,Transcription Factors,2024,2528,A,2,,
"Explain the process of translation in Prokaryotes. Also give a detailed account of initiation, elongation, and termination.",5,Translation in Prokaryotes,2024,2529,B,5,,
Explain the role of tumor suppressor genes and apoptosis.,5,Tumor Suppressor Genes & Apoptosis,2024,2530,B,5,,
Give a detailed account of the different stages of meiosis with suitable diagrams.,5,Stages of Meiosis,2024,2531,B,5,,
How can you differentiate a Prokaryotic cell from a Eukaryotic cell? Give reasons for the evolution.,5,Prokaryotic vs Eukaryotic Cells,2024,2532,B,5,,
Explain the process of gene silencing in detail.,5,Gene Silencing,2024,2533,B,5,,
Discuss the procedure of bacterial DNA replication. Also mention the various differences between prokaryotic and eukaryotic DNA replication.,10,DNA Replication,2024,2534,C,10,,
Define the term central dogma. Explain in detail the process of transcription and translation.,10,Central Dogma,2024,2535,C,10,,
Explain the different types of RNAs. What do you mean by RNA-based regulation of genes?,10,Types of RNAs & RNA Regulation,2024,2536,C,10,,
What is the use of Bluetooth technology?,2,Bluetooth Technology,2024,2537,A,2,,
What is the use of Sensors & actuators?,2,Sensors & Actuators,2024,2538,A,2,,
What is the major area of applications of embedded systems?,2,Applications of Embedded Systems,2024,2539,A,2,,
What do you mean by FPGA?,2,FPGA,2024,2540,A,2,,
What is the need to use watchdog timer in design?,2,Watchdog Timer,2024,2541,A,2,,
Differentiate between a microprocessor and a microcontroller.,2,Microprocessor vs Microcontroller,2024,2542,A,2,,
What is kernel space and user space?,2,Kernel Space and User Space,2024,2543,A,2,,
Discuss basic parts of an operating system?,2,Operating System Basics,2024,2544,A,2,,
Discuss classification of embedded systems.,2,Embedded Systems Classification,2024,2545,A,2,,
What is the purpose of using high-level language in embedded systems?,2,High-Level Language in Embedded Systems,2024,2546,A,2,,
Differentiate between Harvard Architecture and Von-Neumann Architecture.,5,Harvard vs Von-Neumann,2024,2547,B,5,,
What do you mean by thermal considerations in embedded system design?,5,Thermal Considerations,2024,2548,B,5,,
Discuss the embedded system design process with the help of a flowchart.,5,Embedded System Design Process,2024,2549,B,5,,
Discuss various sub-system interfacing available in embedded system design.,5,Subsystem Interfacing,2024,2550,B,5,,
What are the challenges and design issues in embedded systems? Discuss in detail with suitable justification.,10,Embedded Systems Challenges,2024,2551,C,10,,
What do you mean by embedded microcontroller cores? Discuss various embedded microcontroller cores available for embedded system design.,10,Embedded Microcontroller Cores,2024,2552,C,10,,
"Write technical notes on the following: 
1) MESI protocol
2) Asynchronous data transfer
3) Priority interrupt",10,Technical Notes,2024,2553,C,10,,
Why different frequencies are required for 'Go' and downlink in satellite communication?,2,Frequencies in Satellite Communication,2024,2554,A,2,,
Why is sidereal day different from a solar day?,2,Sidereal vs Solar Day,2024,2555,A,2,,
What is footprint in satellite communication? What does it depend upon?,2,Footprint in Satellite Communication,2024,2556,A,2,,
What is meant by Julian zero time reference?,2,Julian Zero Time Reference,2024,2557,A,2,,
Write the objectives with which the downlink of any satellite communication system must be designed.,2,Satellite Downlink Objectives,2024,2558,A,2,,
What are the main functions of Attitude and Orbit Control System?,2,Attitude and Orbit Control System,2024,2559,A,2,,
A satellite downlink at 12 GHz operates with a transmit power of 6 W and an antenna gain of 48.2 dB. Calculate the EIRP in dBW.,2,EIRP Calculation,2024,2560,A,2,,
Why is guard time used in TDMA frames?,2,Guard Time in TDMA,2024,2561,A,2,,
What is eclipse of the satellite?,2,Satellite Eclipse,2024,2562,A,2,,
What is the impact of atmospheric drag on satellite systems?,2,Atmospheric Drag Impact,2024,2563,A,2,,
How does the system noise temperature affect the performance? Derive the expression for overall system noise temperature at the receiving earth station.,5,System Noise Temperature,2024,2564,B,5,,
State Kepler’s three laws of planetary motion and describe the orbit of a satellite with respect to the earth.,5,Kepler's Laws,2024,2565,B,5,,
"A satellite in an elliptical orbit around the earth has an apogee of 39,152 km and perigee of 500 km. What is the orbital period of this satellite? Give your answer in hours.",5,Orbital Period Calculation,2024,2566,B,5,,
"Explain the brief history of satellite systems, advantages, and disadvantages.",5,History of Satellite Systems,2024,2567,B,5,,
Explain the satellite link equation. What are the factors that affect C/N ratio?,5,Satellite Link Equation,2024,2568,B,5,,
What are the Orbital Parameters? Explain with diagrams and expressions in detail.,10,Orbital Parameters,2024,2569,C,10,,
Compare advantages of CDMA over TDMA and FDMA. Explain TDMA frame structure.,10,CDMA vs TDMA vs FDMA,2024,2570,C,10,,
"Write short notes on the following: 
1) Sun Transit-Outage phenomena, its effects and remedies 
2) Roles of various sub-systems of a satellite system",10,Short Notes,2024,2571,C,10,,
Define inductive reactance and capacitive reactance.,2,Inductive and Capacitive Reactance,2024,2572,A,2,,
Differentiate between direct current and alternating current quantities.,2,DC vs AC Quantities,2024,2573,A,2,,
State the principle of operation of a transformer.,2,Transformer Operation,2024,2574,A,2,,
Write the Truth Tables for RS and JK flip-flops.,2,RS and JK Flip-Flops,2024,2575,A,2,,
Define knee voltage and breakdown voltage of a diode.,2,Knee Voltage and Breakdown Voltage,2024,2576,A,2,,
State Faraday’s Laws.,2,Faraday's Laws,2024,2577,A,2,,
How can impedance be represented in polar form and rectangular form?,2,Impedance Representation,2024,2578,A,2,,
"Write the Truth Tables for OR gate, NOR gate & XOR gate.",2,Logic Gates,2024,2579,A,2,,
Classify various types of transducers.,2,Transducers,2024,2580,A,2,,
What is the function of a commutator in DC machines?,2,Commutator in DC Machines,2024,2581,A,2,,
"A series RLC circuit consists of resistance of 2 ohms, a coil of inductive reactance of 4 ohms and a capacitor of capacitive reactance of 3 ohms across a 220V, 50Hz AC supply. Find:
(a) Impedance
(b) RMS value of current
(c) Maximum value of current
(d) Power factor and power of the circuit.",5,Series RLC Circuit,2024,2582,B,5,,
Explain the working of a D flip-flop with the help of a diagram and truth table.,5,D Flip-Flop,2024,2583,B,5,,
Illustrate the working of a multimeter.,5,Multimeter,2024,2584,B,5,,
Elaborate the operation of a full-wave bridge rectifier.,5,Full-Wave Bridge Rectifier,2024,2585,B,5,,
Explain the construction and working principle of a transformer. Find the expression for emf induced in the transformer.,5,Transformer Principle,2024,2586,B,5,,
Explain the principle of operation of a DC motor. How are DC motors classified and what are their applications?,10,DC Motor Operation,2024,2587,C,10,,
Discuss the operation of a BJT amplifier in CE mode.,10,BJT Amplifier in CE Mode,2024,2588,C,10,,
How are three-phase motors classified? Explain the construction and applications of each type.,10,Three-Phase Motors,2024,2589,C,10,,
Find current I using nodal and mesh analysis.,10,Nodal and Mesh Analysis,2024,2590,C,10,,
What is the difference between co-channel and adjacent channel interference?,2,Co-channel and Adjacent Channel Interference,2024,2591,A,2,,
Explain dynamic channel allocation scheme.,2,Dynamic Channel Allocation,2024,2592,A,2,,
What is fading effect?,2,Fading Effect,2024,2593,A,2,,
Write down the factors causing co-channel interference.,2,Factors Causing Co-channel Interference,2024,2594,A,2,,
"If the cluster size N is reduced while the cell size is kept constant, what is the effect on capacity?",2,Effect of Cluster Size on Capacity,2024,2595,A,2,,
What is equal gain combining method?,2,Equal Gain Combining,2024,2596,A,2,,
How much there is an increase in spectrum efficiency offered by 3G compared to 2G?,2,Spectrum Efficiency in 3G vs 2G,2024,2597,A,2,,
What is guard space?,2,Guard Space,2024,2598,A,2,,
What do you mean by forward and reverse channel?,2,Forward and Reverse Channel,2024,2599,A,2,,
What is a base station?,2,Base Station,2024,2600,A,2,,
Explain the different handover schemes used in wireless communication.,5,Handover Schemes,2024,2601,B,5,,
Explain in detail cell splitting and cell sectoring.,5,Cell Splitting and Sectoring,2024,2602,B,5,,
Discuss ALOHA and Slotted ALOHA Protocol.,5,ALOHA and Slotted ALOHA,2024,2603,B,5,,
Define the concept of frequency channels.,5,Frequency Channels,2024,2604,B,5,,
Design a half adder.,2,Half Adder,2024,2605,A,2,,
What is a ring counter?,2,Ring Counter,2024,2606,A,2,,
What do you mean by a shift register?,2,Shift Register,2024,2607,A,2,,
Convert a Hexadecimal number (DAC) to an Octal and Binary number system.,2,Hexadecimal to Octal and Binary Conversion,2024,2608,A,2,,
Convert a Gray code 11001010 to a binary number?,2,Gray Code to Binary Conversion,2024,2609,A,2,,
Differentiate between a latch and a flip-flop.,2,Latch vs Flip-Flop,2024,2610,A,2,,
How NOR can be used as NAND?,2,NOR as NAND,2024,2611,A,2,,
What is a Seven Segment Display?,2,Seven Segment Display,2024,2612,A,2,,
Convert a JK flip-flop to a D flip-flop.,2,JK to D Flip-Flop,2024,2613,A,2,,
What is the operating voltage of TTL 7400 IC?,2,TTL 7400 IC Operating Voltage,2024,2614,A,2,,
Explain the working of a T flip-flop.,5,T Flip-Flop,2024,2615,B,5,,
Design and explain the working of a 3-bit counter.,5,3-bit Counter,2024,2616,B,5,,
"Implement the logic function F(A,B,C) = Σ(1,3,5,7) using.",5,Logic Function Implementation,2024,2617,B,5,,
Discuss De-Morgan’s theorems with some examples.,5,De-Morgan's Theorems,2024,2618,B,5,,
What is an encoder? Discuss about it.,5,Encoder,2024,2619,B,5,,
